bookmaker,ev,impl_prb,label,league,line,market,odds,subject,true_prb
HardRock,-0.0758,0.5235602094240838,Under,NFL,15.5,Total Receiving Yards,1.91,Cole Kmet,0.48387096774193555
HardRock,-0.0758,0.5235602094240838,Under,NFL,15.5,Total Receiving Yards,1.91,Cole Kmet,0.48387096774193555
BetMGM,-0.0758,0.5235602094240838,Under,NFL,15.5,Total Receiving Yards,1.91,Cole Kmet,0.48387096774193555
DraftKings,-0.0758,0.5235602094240838,Under,NFL,15.5,Total Receiving Yards,1.91,Cole Kmet,0.48387096774193555
BetMGM,-0.0758,0.5235602094240838,Under,NFL,15.5,Total Receiving Yards,1.91,Cole Kmet,0.48387096774193555
Rebet,-0.079,0.6711409395973155,Under,NHL,2.5,Total Shots on Goal,1.49,Mikael Granlund,0.6180904522613065
Pinnacle,-0.079,0.6711409395973155,Under,NHL,2.5,Total Shots on Goal,1.49,Mikael Granlund,0.6180904522613065
Pinnacle,-0.079,0.6711409395973155,Under,NHL,2.5,Total Shots on Goal,1.49,Mikael Granlund,0.6180904522613065
Rebet,-0.079,0.6711409395973155,Under,NHL,2.5,Total Shots on Goal,1.49,Mikael Granlund,0.6180904522613065
PrizePicks,-0.0824,0.5405405405405405,Under,NBA,38.5,Points + Rebounds + Assists,1.85,Cade Cunningham,0.4960212201591513
Pinnacle,-0.0824,0.5405405405405405,Under,NBA,38.5,Points + Rebounds + Assists,1.85,Cade Cunningham,0.4960212201591513
Pinnacle,-0.0824,0.5405405405405405,Under,NBA,38.5,Points + Rebounds + Assists,1.85,Cade Cunningham,0.4960212201591513
PrizePicks,-0.0824,0.5405405405405405,Under,NBA,38.5,Points + Rebounds + Assists,1.85,Cade Cunningham,0.4960212201591513
BetMGM,-0.0834,0.4166666666666667,Over,NHL,2.5,Total Shots on Goal,2.4,Mikael Granlund,0.38190954773869346
ESPNBet,-0.0834,0.4166666666666667,Over,NHL,2.5,Total Shots on Goal,2.4,Mikael Granlund,0.38190954773869346
